Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.94B,(1.72B),1.29B,6.41B,4.64B
Net Income Growth,-,-158.40%,175.36%,394.98%,-27.56%
"Depreciation, Depletion & Amortization",2.91B,2.94B,2.87B,2.84B,2.76B
Depreciation and Depletion,-,-,-,2.45B,2.42B
Amortization of Intangible Assets,-,-,-,388M,336M
Deferred Taxes & Investment Tax Credit,(429M),(228M),258M,278M,79M
Deferred Taxes,(429M),(228M),258M,278M,79M
Investment Tax Credit,-,-,-,-,-
Other Funds,492M,4.55B,608M,(1.07B),784M
Funds from Operations,5.91B,5.54B,5.03B,8.46B,8.26B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.66B),387M,1.19B,(1.45B),(786M)
Receivables,(855M),1.25B,171M,(2.13B),1.19B
Accounts Payable,787M,(948M),(84M),2.46B,(1.26B)
Other Assets/Liabilities,(731M),(586M),590M,(5M),(1.07B)
Net Operating Cash Flow,4.25B,5.93B,6.23B,7.01B,7.48B
Net Operating Cash Flow Growth,-,39.40%,4.99%,12.58%,6.65%
Net Operating Cash Flow / Sales,8.58%,13.81%,16.15%,12.75%,13.14%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.12B),(1.97B),(1.26B),(2.2B),(1.83B)
Capital Expenditures Growth,-,6.94%,36.19%,-74.62%,16.63%
Capital Expenditures / Sales,-4.27%,-4.59%,-3.26%,-3.99%,-3.22%
Capital Expenditures (Fixed Assets),(2.09B),(1.96B),(1.25B),(1.5B),(1.82B)
Capital Expenditures (Other Assets),(26M),(9M),(5M),(694M),(7M)
Net Assets from Acquisitions,(20M),(297M),(130M),(129M),(228M)
Sale of Fixed Assets & Businesses,47M,84M,929M,119M,84M
Purchase/Sale of Investments,(448M),(361M),(419M),(699M),(946M)
Purchase of Investments,(1.66B),(1.61B),(1.54B),(1.46B),(1.7B)
Sale/Maturity of Investments,1.21B,1.25B,1.12B,759M,758M
Other Uses,(369M),(34M),-,(10M),(50M)
Other Sources,3M,1.94B,-,-,-
Net Investing Cash Flow,(2.2B),(2.49B),(841M),(2.91B),(2.97B)
Net Investing Cash Flow Growth,-,-13.39%,66.21%,-246.49%,-1.92%
Net Investing Cash Flow / Sales,-4.43%,-5.79%,-2.18%,-5.30%,-5.22%
